"","x"
"(Intercept)",-3.90757208295388
"tobacco_puff",0.170778468740528
"weightcontrol_ksads",0.431513491116494
"witness_comm_violence",0.341514912152543
"death_loved_one",0.147074607797879
"witness_dv",0.341737196806576
"s_abuse",0.539513626626081
"p_abuse",0.480601102948638
"emot_abuse",0.481932003643061
"serious_accident",0.236681414235801
"sleep_hrs",0.184529537452018
"bmi",-0.000443744541217323
"needed_food",0.396145687390984
"income",-0.00590763667053263
"parent_ed",0.0499698571838057
"gender",-0.0529411853848608
"area_depriv",-0.000465096932461581
"comm_safety",-0.0536040217812439
"days_active",-0.00810067367252127
"agemths",0.0024164254116976
"tobacco_puff_gender",-0.0463389067131833
"weightcontrol_ksads_gender",0.0195966201724795
"witness_comm_violence_gender",-0.036980202646372
"death_loved_one_gender",0.0213204908315858
"witness_dv_gender",0.0375327119334947
"s_abuse_gender",0.000933497564185922
"p_abuse_gender",-0.0302303927528258
"emot_abuse_gender",-0.0329636571371648
"serious_accident_gender",0.012170675352402
"sleep_hrs_gender",0.0553717362412869
"bmi_gender",-0.00146147559103959
"needed_food_gender",0.0624778944886489
"income_gender",-0.00454754427297186
"parent_ed_gender",-0.00168554768554713
"area_depriv_gender",-0.000626996258877231
"comm_safety_gender",-0.0214853577653883
"days_active_gender",-0.00604266707966312
"agemths_gender",-0.000385194216836195
