"","x"
"(Intercept)",-7.59463614372709
"tobacco_puff",0.453564686166553
"weightcontrol_ksads",0.886317471313976
"witness_comm_violence",0.516428890752012
"death_loved_one",0.363789865423813
"witness_dv",0.753903283708762
"s_abuse",1.04826594689979
"p_abuse",0.721596474676806
"emot_abuse",1.06008197924503
"serious_accident",0.518975212064343
"sleep_hrs",0.179646626749037
"bmi",0.00584898210050357
"needed_food",0.744638390371175
"income",-0.0202379136792583
"parent_ed",0.0626181357450237
"gender",-0.0648156538813469
"area_depriv",0.000438632708271806
"comm_safety",-0.134305213511682
"days_active",-0.0147813146705781
"agemths",0.00120560952951937
"tobacco_puff_gender",-0.044648741239036
"weightcontrol_ksads_gender",0.0618494485192014
"witness_comm_violence_gender",-0.0392530938732914
"death_loved_one_gender",0.0857108130141483
"witness_dv_gender",0.127733932511322
"s_abuse_gender",0.0321669923790169
"p_abuse_gender",-0.028123452039661
"emot_abuse_gender",-0.0176757868404163
"serious_accident_gender",0.065181656989771
"sleep_hrs_gender",0.0610379262122122
"bmi_gender",-0.0012634942998926
"needed_food_gender",0.130505787392481
"income_gender",-0.00965945579774346
"parent_ed_gender",-0.000421436565769499
"area_depriv_gender",-0.00027705520300185
"comm_safety_gender",-0.0443754184541312
"days_active_gender",-0.00795036207732851
"agemths_gender",-0.000484899188390209
